filename,int-bounds,big-arr,big-arr-10x,linked,dlinked,bintree
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libmac_thai.h_mac_thai_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libmac_centraleurope.h_mac_centraleurope_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libiso8859_5.h_iso8859_5_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libmac_roman.h_mac_roman_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libc99.h_c99_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libmac_greek.h_mac_greek_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libnextstep.h_nextstep_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libmulelao.h_mulelao_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libutf8.h_utf8_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libmac_turkish.h_mac_turkish_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libmac_hebrew.h_mac_hebrew_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp950ext.h_cp950ext_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libmac_ukraine.h_mac_ukraine_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libviscii.h_viscii_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libiso2022_cn.h_iso2022_cn_reset.c,0,,,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libiso8859_6.h_iso8859_6_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libiso8859_7.h_iso8859_7_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libucs2internal.h_ucs2internal_wctomb.c,,,0,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libucs2le.h_ucs2le_wctomb.c,,,0,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libriscos1.h_riscos1_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libkoi8_r.h_koi8_r_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libhkscs2008.h_hkscs2008_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15srclibbinary-io.h_set_binary_mode.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libkoi8_u.h_koi8_u_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libpt154.h_pt154_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libucs2be.h_ucs2be_wctomb.c,,,0,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_byte_row_cns11643.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libmac_croatian.h_mac_croatian_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libmac_cyrillic.h_mac_cyrillic_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_byte_col_gbk1.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_byte_col_gbk2.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libhkscs2001.h_hkscs2001_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15srclibsigprocmask.c_sigpending.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_byte_col_sjis.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_byte_col_uhc_1.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_row_byte_gbk1.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_row_byte_gbk2.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_byte_row_gbk2.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_byte_row_uhc_2.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_byte_row_sjis.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_byte_row_uhc_1.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_row_byte_big5.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_row_byte_cns11643.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_row_byte_uhc_1.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_row_byte_uhc_2.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_byte_col_uhc_2.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_byte_row_big5.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_byte_row_hkscs.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_col_byte_johab_hangul.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libkoi8_ru.h_koi8_ru_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libkoi8_t.h_koi8_t_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_col_byte_normal.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libtds565.h_tds565_wctomb.c,,,0,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_byte_row_johab_hangul.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_byte_row_normal.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_row_byte_hkscs.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_row_byte_johab_hangul.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_col_byte_big5.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_byte_row_gbk1.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbardecodercode128.c_calc_check.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbardecodercode39.c_check_width.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_row_byte_normal.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_row_byte_sjis.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_col_byte_gbk1.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_col_byte_gbk2.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarconvert.c__zbar_format_lookup.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarconvert.c_convert_write_rgb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_col_byte_sjis.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_col_byte_uhc_1.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libloop_wchar.h_wchar_id_loop_reset.c,0,,,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libucs2.h_ucs2_wctomb.c,,,0,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libuhc_1.h_uhc_1_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libuhc_2.h_uhc_2_wctomb.c,0,,1,,,
extr_Craftdepsglfwexamplesboing.c_TruncateDeg.c,0,,,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbardecoder.h_decode_e.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarqrcodeqrdec.c_qr_hamming_dist.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbardecodercode93.c_check_width.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarqrcodeutil.c_qr_isqrt.c,0,1,2,,,
extr_Craftdepsglfwexamplesboing.c_deg2rad.c,0,,,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libucs4.h_ucs4_wctomb.c,,,0,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libucs4be.h_ucs4be_wctomb.c,,,0,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_byte_col_normal.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libutf16le.h_utf16le_wctomb.c,,,0,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15srclibsigprocmask.c_sigemptyset.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarjpeg.c_term_source.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libucs4internal.h_ucs4internal_wctomb.c,,,0,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libucs4le.h_ucs4le_wctomb.c,,,0,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbardecodercodabar.c_check_width.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbardecoderean.c_check_width.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbardecoder.c_decoder_set_config_int.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbardecoderqr_finder.c__zbar_decoder_get_qr_finder_line.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarprocessorposix.c__zbar_event_destroy.c,0,,,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libutf32be.h_utf32be_wctomb.c,,,0,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libutf32le.h_utf32le_wctomb.c,,,0,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15librk1048.h_rk1048_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarqrcodeutil.c_qr_ilog.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_col_byte_uhc_2.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_is_charset2uni_large.c,0,,,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libutf16.h_utf16_wctomb.c,,,0,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbardecoderdatabar.c_calc_value4.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarsymbol.c_zbar_get_addon_name.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libutf16be.h_utf16be_wctomb.c,,,0,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbardecoderdatabar.c_check_width.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarsymbol.c_zbar_get_orientation_name.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarsymbol.c_zbar_get_config_name.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbardecoderdatabar.c_append_check14.c,,,0,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarsymbol.c_zbar_get_symbol_name.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarimage.c_zbar_image_set_size.c,0,,,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarsymbol.c_zbar_get_modifier_name.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarimage.c_zbar_image_set_crop.c,0,,,,,
extr_Craftdepsglfwsrcinit.c_getErrorString.c,0,1,2,,,
extr_Craftdepsglfwsrcinit.c_glfwGetVersion.c,0,,,,,
extr_Craftdepsglfwexampleswave.c_scroll_callback.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarqrcodeqrdec.c_qr_code_ncodewords.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbardecodercode93.c_plusmod47.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarprocessorposix.c__zbar_event_init.c,0,,,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarqrcodebch15_5.c_bch15_5_encode.c,0,1,2,,,
extr_Craftdepsglfwsrcmir_window.c_mirModToGLFWMod.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarvideov4l1.c_v4l1_stop.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarwindowdib.c_dib_cleanup.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarqrcodeqrdec.c_qr_line_eval.c,,,0,,,
extr_Craftdepsglfwsrcegl_context.c_getErrorString.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbardecoderdatabar.c_decode10.c,,,0,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarvideov4l1.c_v4l1_start.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarimage.c_zbar_image_set_format.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarqrcodeqrdec.c_qr_point_translate.c,,,0,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarqrcodeqrdectxt.c_enc_list_mtf.c,0,,1,,,
extr_Craftdepslodepnglodepng.c_checkColorValidity.c,0,1,2,,,
extr_Craftdepslodepnglodepng.c_flog2.c,0,,,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarwindownull.c__zbar_window_resize.c,0,,1,,,
extr_Craftdepsglfwdepstinycthread.c_thrd_detach.c,0,1,2,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarimage.h__zbar_image_swap_symbols.c,0,,,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarjpeg.c_fill_input_buffer.c,0,,,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarqrcodeisaac.c_isaac_mix.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarqrcodeisaac.c_isaac_update.c,0,,,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarimage.c_zbar_image_set_sequence.c,0,,1,,,
extr_Craftdepsglfwsrcmir_window.c__glfwPlatformGetWindowSize.c,0,,,,,
extr_Craftdepsglfwtestsglfwinfo.c_get_profile_name_glfw.c,0,1,2,,,
extr_Craftdepsglfwtestsglfwinfo.c_get_strategy_name_gl.c,0,1,2,,,
extr_Craftdepsglfwsrcx11_window.c_translateCursorShape.c,0,1,2,,,
extr_Craftdepsglfwsrcx11_window.c_translateState.c,0,1,2,,,
extr_Craftdepsglfwtestsglfwinfo.c_get_api_name.c,0,1,2,,,
extr_Craftdepsglfwtestsglfwinfo.c_get_profile_name_gl.c,0,1,2,,,
extr_Craftdepsglfwsrcwl_window.c__glfwPlatformGetWindowSize.c,0,,,,,
extr_Craftdepsglfwsrcx11_window.c_isSelectionEvent.c,0,,,,,
extr_Craftdepsglfwsrcmir_monitor.c__glfwPlatformIsSameMonitor.c,0,,,,,
extr_Craftdepssqlitesqlite3.c_computeYMD.c,0,,,,,
extr_Craftdepsglfwsrcmonitor.c__glfwSplitBPP.c,0,,,,,
extr_Craftdepsglfwsrcwl_window.c__glfwPlatformGetCursorPos.c,0,,,,,
extr_Craftdepsglfwsrcinput.c_setStickyMouseButtons.c,0,,,,,
extr_Craftdepsglfwexamplessplitview.c_framebufferSizeFun.c,0,,1,,,
extr_Craftdepsglfwtestsevents.c_get_action_name.c,0,1,2,,,
extr_Craftdepsglfwsrcmir_window.c__glfwPlatformGetFramebufferSize.c,0,,,,,
extr_Craftdepsglfwsrcwl_window.c__glfwPlatformWindowVisible.c,0,,1,,,
extr_Craftdepsglfwsrcmir_window.c_toGLFWKeyCode.c,0,1,2,,,
extr_Craftdepssqlitesqlite3.c_estLog.c,0,,,,,
extr_Craftdepsglfwsrcinput.c_setStickyKeys.c,0,,,,,
extr_Craftdepsglfwexamplessplitview.c_mouseButtonFun.c,0,,1,,,
extr_Craftdepsglfwtestsevents.c_get_key_name.c,0,1,2,,,
extr_Craftdepsglfwsrcmir_monitor.c__glfwPlatformGetMonitorPos.c,0,,,,,
extr_Craftdepslodepnglodepng.c_getValueRequiredBits.c,0,1,2,,,
extr_Craftdepsglfwsrcwl_init.c_toGLFWKeyCode.c,0,1,2,,,
extr_Craftdepsglfwsrcmir_monitor.c_FillInRGBBitsFromPixelFormat.c,0,,,,,
extr_Craftdepsglfwsrcx11_window.c_isFrameExtentsEvent.c,0,,,,,
extr_Craftdepsglfwsrcx11_monitor.c__glfwPlatformIsSameMonitor.c,0,,,,,
extr_Craftdepsglfwsrcwl_monitor.c__glfwPlatformIsSameMonitor.c,0,,,,,
extr_FFmpeglibavcodecaacenc_pred.c_flt16_round.c,0,,,,,
